id,name,time,arrival,date
1,Ashwanth S,08:06:17,Present,2026-08-01
2,Arun K,08:11:49,Present,2026-08-01
3,Bharath R,08:52:17,Late,2026-08-01
4,Dinesh P,08:13:53,Present,2026-08-01
5,Gokul M,08:04:24,Present,2026-08-01
6,Harish V,09:08:35,Late,2026-08-01
7,Karthik S,08:42:21,Late,2026-08-01
8,Lokesh K,08:06:10,Present,2026-08-01
9,Manoj R,08:17:21,Present,2026-08-01
10,Naveen P,09:11:21,Late,2026-08-01
11,Praveen S,08:31:10,Late,2026-08-01
12,Rahul M,08:00:57,Present,2026-08-01
13,Sanjay K,08:55:49,Late,2026-08-01
14,Sathish R,08:11:56,Present,2026-08-01
15,Surya P,08:48:04,Late,2026-08-01
16,Vignesh S,08:00:20,Present,2026-08-01
17,Vishnu K,08:57:06,Late,2026-08-01
18,Yogesh M,08:05:05,Present,2026-08-01
19,Ajay R,08:18:08,Present,2026-08-01
20,Kavin S,08:02:18,Present,2026-08-01
21,Ashwanth S,08:55:36,Late,2026-08-02
22,Arun K,09:01:16,Late,2026-08-02
23,Bharath R,09:00:53,Late,2026-08-02
24,Dinesh P,08:04:49,Present,2026-08-02
25,Gokul M,08:39:21,Late,2026-08-02
26,Harish V,09:06:51,Late,2026-08-02
27,Karthik S,09:01:13,Late,2026-08-02
28,Lokesh K,09:07:36,Late,2026-08-02
29,Manoj R,08:40:00,Late,2026-08-02
30,Naveen P,08:50:57,Late,2026-08-02
31,Praveen S,09:05:27,Late,2026-08-02
32,Rahul M,09:08:40,Late,2026-08-02
33,Sanjay K,09:02:33,Late,2026-08-02
34,Sathish R,08:53:23,Late,2026-08-02
35,Surya P,09:05:02,Late,2026-08-02
36,Vignesh S,08:23:46,Present,2026-08-02
37,Vishnu K,08:10:58,Present,2026-08-02
38,Yogesh M,09:02:42,Late,2026-08-02
39,Ajay R,08:33:10,Late,2026-08-02
40,Kavin S,08:42:21,Late,2026-08-02
41,Ashwanth S,09:10:25,Late,2026-08-03
42,Arun K,08:09:46,Present,2026-08-03
